19.00,1.00,0.80,0.80
5.00,0.60,0.80,0.94
9.00,0.78,0.80,0.91
24.00,0.75,0.80,0.72
15.00,0.87,0.80,0.76
22.00,0.77,0.80,0.80
15.00,0.73,0.80,0.81
27.00,0.81,0.80,0.76
20.00,0.75,0.80,0.79
14.00,0.93,0.80,0.79
9.00,0.67,0.80,0.82
16.00,0.69,0.80,0.82
34.00,0.79,0.80,0.69
23.00,0.96,0.80,0.76
12.00,0.92,0.80,0.86
4.00,1.00,0.80,0.94
11.00,0.73,0.80,0.93
16.00,0.75,0.80,0.80
21.00,0.86,0.80,0.74
8.00,1.00,0.80,0.81
8.00,1.00,0.80,0.89
2.00,0.50,0.80,0.99
8.00,0.88,0.80,0.89
13.00,0.77,0.80,0.80
18.00,0.72,0.80,0.81
22.00,0.68,0.80,0.74
27.00,0.81,0.80,0.70
24.00,0.83,0.80,0.76
13.00,0.77,0.80,0.82
14.00,0.93,0.80,0.81
7.00,0.86,0.80,0.85
10.00,0.60,0.80,0.90
26.00,0.73,0.80,0.71
30.00,0.73,0.80,0.70
24.00,0.83,0.80,0.73
23.00,0.83,0.80,0.78
12.00,0.67,0.80,0.83
25.00,0.84,0.80,0.77
19.00,0.79,0.80,0.78
8.00,0.75,0.80,0.82
16.00,0.81,0.80,0.78
20.00,0.85,0.80,0.79
12.00,0.75,0.80,0.83
13.00,0.69,0.80,0.81
27.00,0.89,0.80,0.72
11.00,0.73,0.80,0.82
15.00,0.87,0.80,0.84
13.00,0.92,0.80,0.81
10.00,1.00,0.80,0.89
4.00,1.00,0.80,0.95
4.00,1.00,0.80,0.98
4.00,0.50,0.80,0.97
19.00,0.89,0.80,0.76
16.00,0.88,0.80,0.82
8.00,1.00,0.80,0.88
3.00,0.67,0.80,0.91
10.00,0.80,0.80,0.90
18.00,0.78,0.80,0.77
16.00,0.63,0.80,0.79
23.00,0.78,0.80,0.71
29.00,0.86,0.80,0.72
12.00,0.67,0.80,0.83
13.00,0.77,0.80,0.80
27.00,0.70,0.80,0.72
